uniprot_id,ratio_bad_plddt,median_plddt,cluster_id
P01318,0.8571,50.44,cluster_100
A1XG13,0.8549,36.485,cluster_498
P06306,0.8545,50.77,cluster_100
B3ESD7,0.8537,59.67,cluster_379
A6MMQ5,0.8536,37.505,cluster_498
Q06GT8,0.8525,37.25,cluster_498
Q9BBN6,0.8505,38.15,cluster_498
Q5KUI7,0.8481,53.24,cluster_79
A6MM95,0.8478,36.71,cluster_498
Q09FQ2,0.8475,35.16,cluster_498
B7GMF9,0.8475,52.06,cluster_79
P09218,0.8445,52.97,cluster_79
Q1LHK7,0.8444,65.425,cluster_83
P01335,0.8426,51.48,cluster_100
A8G1X1,0.8409,55.305,cluster_79
P21903,0.8408,52.63,cluster_79
A3NVZ5,0.8391,62.75,cluster_379
P20600,0.839,52.9,cluster_79
C5D9M1,0.839,53.46,cluster_79
Q8E8B4,0.8371,55.36,cluster_79
Q0HPF5,0.8371,55.41,cluster_79
Q0HD73,0.8371,56.01,cluster_79
A3QJR6,0.8371,56.13,cluster_79
Q9KNG9,0.837,55.2,cluster_79
A8ZUM7,0.8341,55.57,cluster_79
A1SBU6,0.8333,55.865,cluster_79
Q3SF60,0.8321,55.27,cluster_79
C3LSJ5,0.8296,55.49,cluster_79
Q9CKW6,0.8295,55.03,cluster_79
Q12HP5,0.8295,55.37,cluster_79
Q07VT8,0.8295,55.93,cluster_79
A0L2T4,0.8295,56.33,cluster_79
Q13Z86,0.8295,62.76,cluster_379
Q8WHX1,0.8285,39.34,cluster_498
A1T0Z5,0.8277,55.6,cluster_79
Q49Z56,0.8264,52.42,cluster_79
B5FCZ7,0.8259,54.73,cluster_79
B6EHU3,0.8259,55.75,cluster_79
Q1LLG0,0.8256,62.48,cluster_379
B2HQK8,0.824,50.6,cluster_79
A7Z9Q6,0.8238,52.45,cluster_79
A4Y193,0.8235,54.19,cluster_79
Q48BF9,0.8235,54.88,cluster_79
Q8CRM8,0.8235,62.29,cluster_379
A8AYG6,0.8228,53.17,cluster_79
A5F473,0.8222,55.54,cluster_79
B1XUR7,0.8218,61.01,cluster_206
Q3YEH4,0.8209,58.74,cluster_102
P9WPV6,0.82,51.22,cluster_79
Q7A4E5,0.8182,51.4,cluster_79
A8YY76,0.8182,51.565,cluster_79
Q6G7K1,0.8182,51.575,cluster_79
A6U3J4,0.8182,51.595,cluster_79
Q5HMB3,0.8182,52.325,cluster_79
A0K7V7,0.8182,62.63,cluster_379
B2T3R7,0.8182,62.825,cluster_379
A5G9C3,0.8166,55.09,cluster_79
A6WUJ6,0.8165,57.215,cluster_79
Q2SWG5,0.8161,62.81,cluster_379
A3NA78,0.8161,62.94,cluster_379
A8FIB8,0.8156,51.98,cluster_79
C1KYV2,0.8151,54.24,cluster_79
Q5HE91,0.814,51.21,cluster_79
Q2FF18,0.814,51.285,cluster_79
Q6GEW6,0.814,51.43,cluster_79
Q2YUJ5,0.814,51.485,cluster_79
Q99SE9,0.814,52.06,cluster_79
A6QIV3,0.814,52.17,cluster_79
Q8EM77,0.8125,52.49,cluster_79
C5BF34,0.8125,55.54,cluster_79
Q9BPF7,0.8125,57.645,cluster_102
Q04D49,0.8125,64.565,cluster_379
Q71WP3,0.8109,53.9,cluster_79
Q85X66,0.8105,57.91,cluster_79
B2J053,0.8103,52.59,cluster_79
A1JTD4,0.8102,54.815,cluster_79
Q7A0C2,0.8099,51.285,cluster_79
A5IUQ4,0.8099,51.69,cluster_79
Q8CNJ1,0.8099,52.135,cluster_79
Q00825,0.8099,54.085,cluster_79
A4SXF0,0.8095,62.47,cluster_206
A6TG42,0.8083,55.25,cluster_79
P37813,0.8074,51.96,cluster_79
A9KX12,0.8068,53.405,cluster_79
Q927V8,0.8067,54.295,cluster_79
Q1CCG9,0.8066,54.28,cluster_79
A7X4V1,0.8058,51.43,cluster_79
Q0KCE1,0.8053,61.76,cluster_206
B2GAT9,0.8051,52.405,cluster_79
Q48AW6,0.8046,54.4,cluster_79
Q3JRM8,0.8046,63.13,cluster_379
Q8MEX3,0.8041,47.84,cluster_290
Q39QA3,0.8035,56.66,cluster_79
B8EDV6,0.803,53.85,cluster_79
A3DAS0,0.803,54.14,cluster_79
Q8Y4B6,0.8025,54.915,cluster_79
Q6YXP5,0.8022,46.12,cluster_498
Q5H3R4,0.8,62.355,cluster_379
Q5HMA2,0.8,63.96,cluster_379
Q663Q2,0.7993,54.36,cluster_79
Q1Q893,0.7986,54.15,cluster_79
A8G7M2,0.7985,55.83,cluster_79
A8EWC4,0.7982,59.98,cluster_79
B2VCB0,0.7978,55.21,cluster_79
P0C906,0.7969,64.065,cluster_102
Q4L7Z0,0.7967,53.27,cluster_79
Q88BW8,0.7958,53.85,cluster_79
B2K841,0.7956,54.22,cluster_79
Q7NA89,0.7956,55.04,cluster_79
Q3YEF1,0.7955,58.66,cluster_253
A4YCI4,0.7949,54.86,cluster_79
C6E8P0,0.7948,53.27,cluster_79
B9LZL3,0.7948,53.49,cluster_79
Q1QSC4,0.7944,54.48,cluster_79
Q5XCY5,0.7941,53.64,cluster_79
B2IQX5,0.7941,54.74,cluster_79
C1C8A4,0.7941,54.955,cluster_79
A7I1B2,0.7939,57.53,cluster_79
B7H2A0,0.7938,55.34,cluster_79
Q9U6Z6,0.7937,57.92,cluster_102
Q4K3A3,0.7931,53.43,cluster_79
Q63UV5,0.7931,63.4,cluster_379
A1V4M5,0.7931,64.01,cluster_379
Q15MT8,0.7926,54.12,cluster_79
Q5E1N1,0.7926,54.14,cluster_79
C3K1F2,0.7924,53.42,cluster_79
Q4ZL18,0.7924,53.53,cluster_79
A5WBA9,0.7924,53.61,cluster_79
B1JFU7,0.7924,53.85,cluster_79
B0KRB4,0.7924,54.03,cluster_79
Q87TS8,0.7924,54.08,cluster_79
Q3K435,0.7924,54.56,cluster_79
A9R5U5,0.792,54.79,cluster_79
B1JR35,0.792,55.26,cluster_79
A5WBV5,0.7917,55.055,cluster_79
B0VBM6,0.7904,55.39,cluster_79
A1ALL0,0.7904,56.9,cluster_79
Q6LLG2,0.7901,53.325,cluster_79
Q03DY3,0.7901,63.06,cluster_379
Q662D5,0.7901,63.86,cluster_379
Q04HT4,0.7899,54.395,cluster_79
A0ALL9,0.7899,54.745,cluster_79
C1CLL1,0.7899,54.84,cluster_79
B5E676,0.7899,54.84,cluster_79
Q3YVP2,0.7897,52.78,cluster_79
C4ZZ16,0.7897,52.91,cluster_79
B4SYD7,0.7897,56.66,cluster_79
Q6CYI9,0.7895,55.77,cluster_79
Q9HT14,0.7889,54.59,cluster_79
B7V797,0.7889,54.73,cluster_79
Q1C089,0.7883,54.67,cluster_79
A7FPE6,0.7883,54.945,cluster_79
A4TSI7,0.7883,54.945,cluster_79
Q6LL02,0.7882,53.83,cluster_79
B8CVV1,0.7879,53.435,cluster_79
B1KQ40,0.7879,53.805,cluster_79
A1RQB6,0.7875,55.09,cluster_79
B0JWU6,0.7871,52.94,cluster_79
B1XHZ3,0.7869,54.905,cluster_79
Q6FFK6,0.7869,55.43,cluster_79
B0VNJ8,0.7869,55.5,cluster_79
Q7VQW2,0.7868,55.735,cluster_79
A0LIP0,0.7866,55.43,cluster_79
B3H2P9,0.7863,53.555,cluster_79
A7ZTV0,0.786,52.8,cluster_79
B2TUN7,0.786,52.84,cluster_79
B5YXE2,0.786,53.0,cluster_79
B6I3X5,0.786,53.16,cluster_79
P0AB99,0.786,53.25,cluster_79
B1IX00,0.786,53.44,cluster_79
A8A6K1,0.786,53.46,cluster_79
B5XZL8,0.786,55.67,cluster_79
A1AP45,0.786,56.0,cluster_79
B5BIP2,0.786,56.97,cluster_79
A1WZT7,0.7857,55.88,cluster_79
Q1BGZ5,0.7841,63.28,cluster_379
Q0P3K8,0.7839,55.04,cluster_79
B8F768,0.7833,54.48,cluster_79
Q6AQ29,0.7833,57.28,cluster_79
Q17WM4,0.7832,54.2,cluster_79
Q2NQ92,0.7831,55.48,cluster_79
A3N2V0,0.7824,53.825,cluster_79
B7M594,0.7823,52.99,cluster_79
B7L888,0.7823,53.04,cluster_79
A9MJR3,0.7823,56.56,cluster_79
B5FN39,0.7823,57.12,cluster_79
Q1I2I1,0.782,54.18,cluster_79
A6VF38,0.782,54.49,cluster_79
C6DJG6,0.782,55.07,cluster_79
P0A2Y8,0.7815,55.355,cluster_79
Q4FQ31,0.7812,54.72,cluster_79
Q9BPE6,0.7812,59.075,cluster_102
Q9BH75,0.7812,59.19,cluster_102
B0UWH1,0.7811,53.43,cluster_79
Q0I5W7,0.7811,53.65,cluster_79
Q7CFM3,0.781,55.385,cluster_79
B1WUH7,0.7809,57.25,cluster_79
C5BKJ8,0.7809,65.95,cluster_83
B7I1V8,0.7801,55.34,cluster_79
A3M137,0.7801,55.5,cluster_79
Q60CS0,0.7799,52.99,cluster_79
A7MMW0,0.7794,56.315,cluster_79
A8HAG9,0.779,55.67,cluster_79
B0TQG0,0.779,55.715,cluster_79
B5Z7J3,0.7788,55.815,cluster_79
B0BRX8,0.7786,53.365,cluster_79
Q7VPP6,0.7786,53.65,cluster_79
A4WGE9,0.7786,55.96,cluster_79
A8ACP4,0.7786,56.49,cluster_79
Q5PKW6,0.7786,56.91,cluster_79
Q57HX3,0.7786,57.09,cluster_79
C0Q2N8,0.7786,57.48,cluster_79
Q02DE8,0.7785,54.55,cluster_79
Q7P0A1,0.7778,54.82,cluster_79
